Occurance,Landcover,Dist_Road,Dist_Rail,Dist_WA,Dist_W
1,21,0.5086426,4232.649459,843.0878405,446.3102004
1,21,5.703260161,4907.969801,2645.963733,1016.368492
1,21,1.275591346,10163.75011,5471.618235,1011.693545
1,21,2.454867871,1023.591891,990.6306337,244.7970293
1,21,2.575396819,105.2068433,5459.39578,1193.872159
1,21,5.528804035,7069.942104,559.1243244,521.2543121
1,21,0.446258693,2361.138625,774.5740765,339.1283803
1,21,0.0743922,9365.042466,1354.105108,1556.612823
1,21,0.711955325,12344.84064,1566.950927,1425.575772
1,21,3.402176335,1804.176648,2499.806503,781.0312538
1,21,0.503042027,3517.663411,1346.723358,1181.146772
1,21,1.573861285,8243.120852,719.8057902,416.4843929
1,21,0.405108268,15557.777,640.0998476,354.6845191
1,21,2.559794635,3402.669661,1891.481521,933.9169406
1,21,2.726715446,11565.97152,2941.39343,335.7982647
1,21,2.277083215,10635.31156,942.3807694,3.138659922
1,21,7.968605999,2925.795999,359.1255952,1152.789134
1,21,0.205704563,5362.088763,435.9683339,414.6931846
1,21,9.036681383,10559.86492,741.4899678,431.1706453
1,21,4.086397552,3217.093228,1096.886986,434.0367155
1,21,0.467395845,7414.757633,2917.94687,262.048184
1,21,0.265251847,4198.42358,515.0537621,220.4525095
1,21,2.764536723,8808.732062,396.8171074,442.3491623
1,21,0.899701582,955.5486952,2822.371581,1422.873768
1,21,23.24640586,4231.089557,4479.873909,470.9316125
1,21,0.014797696,15667.00153,380.301086,107.1627888
1,21,5.762207172,4940.391164,3139.489596,105.5167372
1,21,2.474128055,3399.39119,128.9315997,138.1530017
1,21,2.437550695,12740.76409,4219.888989,281.9048432
1,21,2.771961945,1004.899435,588.4056853,367.8042846
1,21,1.88413767,9115.009916,5121.66787,318.5967018
1,21,0.462033845,14555.5782,1158.071136,612.5663311
1,21,0.009829822,1629.130953,1449.728158,357.8128691
1,21,0.071578669,413.6096171,3593.390922,674.5556433
1,21,9.19802339,2084.587875,129.0782267,85.34529488
1,21,0.241282421,2089.211934,588.0642087,77.89715822
1,21,0.842799524,136.714926,1391.241852,338.4081938
1,21,1.596822097,12243.40224,2207.619019,1735.492321
1,21,3.955274559,6124.790069,1585.54435,597.1502861
1,21,3.415115634,4888.872413,974.3657973,1077.262635
1,21,0.512412192,2666.885369,893.5127119,608.1643459
